UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
1,January 02 2015,DOG,"Poodle, Standard",3,M,true,Brooklyn,11238
2,January 02 2015,DOG,HUSKY,,U,false,Brooklyn,11249
3,January 02 2015,DOG,,,U,false,Brooklyn,
4,January 01 2015,DOG,American Pit Bull Terrier/Pit Bull,6,M,false,Brooklyn,11221
5,January 03 2015,DOG,American Pit Bull Terrier/Pit Bull,1,M,false,Brooklyn,11207
6,January 05 2015,DOG,American Pit Bull Terrier/Pit Bull,1,F,false,Brooklyn,11209
7,January 04 2015,DOG,MORKIE,1,M,false,Brooklyn,11220
8,January 05 2015,DOG,Chihuahua,1,M,false,Brooklyn,11237
9,January 04 2015,DOG,PIT BULL MIXED,,M,false,Brooklyn,11215
10,January 04 2015,DOG,,,U,false,Brooklyn,11221
11,January 02 2015,DOG,,,U,false,Brooklyn,
12,January 02 2015,DOG,Cocker Spaniel Crossbreed,,U,false,Brooklyn,11220
13,January 05 2015,DOG,Shih Tzu,4,F,false,Brooklyn,11205
14,January 01 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11220
15,January 07 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,
16,January 05 2015,DOG,Shih Tzu,3,M,true,Brooklyn,11224
17,January 09 2015,DOG,Pit Bull,2,M,true,Brooklyn,11213
18,January 10 2015,DOG,Mixed/Other,7,M,true,Brooklyn,
19,January 10 2015,DOG,Yorkshire Terrier,1,F,false,Brooklyn,11237
20,January 13 2015,DOG,Dachshund Smooth Coat,12,M,true,Brooklyn,11217
21,January 12 2015,DOG,American Pit Bull Terrier/Pit Bull,,U,false,Brooklyn,11208
22,January 16 2015,DOG,American Pit Bull Mix / Pit Bull Mix,2,M,false,Brooklyn,11235
23,January 12 2015,DOG,Shih Tzu,2,M,false,Brooklyn,11207
24,January 17 2015,DOG,Chihuahua,7M,M,false,Brooklyn,11213
25,January 21 2015,DOG,Yorkshire Terrier,8M,M,false,Brooklyn,11206
26,January 22 2015,DOG,Labrador Retriever,5,M,true,Brooklyn,11229
27,January 24 2015,DOG,"Jindo Dog,",,U,false,Brooklyn,11226
28,January 27 2015,DOG,Jack Russ,11,M,false,Brooklyn,11217
29,January 25 2015,DOG,Chow Chow,,U,false,Brooklyn,11209
30,January 25 2015,DOG,Chihuahua,1,F,false,Brooklyn,11213
31,January 25 2015,DOG,"Mastiff, Bull",,U,false,Brooklyn,
32,January 20 2015,DOG,PIT BULL/GOLDEN RETRIVE X,,U,false,Brooklyn,11236
33,January 29 2015,DOG,Pit Bull,,U,false,Brooklyn,
34,January 31 2015,DOG,Chihuahua Crossbreed,3,M,false,Brooklyn,
35,January 31 2015,DOG,German Shepherd Crossbreed,,F,false,Brooklyn,11220
36,January 31 2015,DOG,,,U,false,Brooklyn,
37,January 23 2015,DOG,German Shepherd,4,M,false,Brooklyn,11229
38,January 31 2015,DOG,,,U,false,Brooklyn,
39,February 04 2015,DOG,Pomeranian,1,F,false,Brooklyn,11216
40,February 05 2015,DOG,Dalmatian,10,M,true,Brooklyn,11214
41,February 01 2015,DOG,Rottweiler,,U,false,Brooklyn,11204
42,February 04 2015,DOG,Rottweiler,,U,false,Brooklyn,11220
43,February 06 2015,DOG,Shiba Inu,3,M,false,Brooklyn,11252
44,February 07 2015,DOG,Maltese,,U,false,Brooklyn,11215
45,February 07 2015,DOG,Pit Bull,5,M,true,Brooklyn,11214
46,January 27 2015,DOG,,,U,false,Brooklyn,11205
47,February 06 2015,DOG,Dachshund Smooth Coat,,U,false,Brooklyn,
48,January 27 2015,DOG,"Poodle, Standard",,U,false,Brooklyn,11214
49,February 10 2015,DOG,"Welsh Corgi, Pembroke",,U,false,Brooklyn,11204
50,February 07 2015,DOG,Shiba Inu,,M,false,Brooklyn,11206
51,February 07 2015,DOG,RAT TERRIER,5,M,true,Brooklyn,11208
52,January 27 2015,DOG,American Pit Bull Terrier/Pit Bull,2,M,false,Brooklyn,11228
53,February 11 2015,DOG,Staffordshire Bull Terrier,4,M,false,Brooklyn,11235
54,February 11 2015,DOG,RAT TERRIER,13,F,true,Brooklyn,11209
55,February 09 2015,DOG,American Pit Bull Terrier/Pit Bull,10,F,true,Brooklyn,11232
56,February 12 2015,DOG,German Shepherd,4,M,false,Brooklyn,11229
57,February 12 2015,DOG,Pit Bull,,U,false,Brooklyn,11237
58,February 14 2015,DOG,Akita,,M,false,Brooklyn,11237
59,February 14 2015,DOG,,,U,false,Brooklyn,11205
60,February 15 2015,DOG,BULL DOG X,,M,false,Brooklyn,11234
61,February 15 2015,DOG,Pit Bull,,U,false,Brooklyn,11234
62,February 13 2015,DOG,American Pit Bull Terrier/Pit Bull,4,M,true,Brooklyn,11221
63,February 17 2015,DOG,Chihuahua,,U,false,Brooklyn,11218
64,February 15 2015,DOG,American Pit Bull Mix / Pit Bull Mix,1,M,false,Brooklyn,11207
65,February 12 2015,DOG,"Mastiff, Old English",,U,false,Brooklyn,11231
66,February 18 2015,DOG,Yorkshire Terrier,3,M,false,Brooklyn,11233
67,February 17 2015,DOG,American Pit Bull Terrier/Pit Bull,5,M,false,Brooklyn,11207
