Start;End;Sleep quality;Time in bed;Wake up;Sleep Notes;Heart rate;Activity (steps)
2018-08-21 00:17:44;2018-08-21 06:31:59;55%;6:14;;;0;0
2018-08-22 00:08:58;2018-08-22 06:48:15;77%;6:39;;;0;0
2018-08-23 00:26:59;2018-08-23 05:14:15;57%;4:47;;;0;0
2018-08-26 02:22:35;2018-08-26 06:25:43;35%;4:03;;;0;0
2018-08-27 00:54:25;2018-08-27 08:24:27;62%;7:30;;;0;0
2018-08-28 00:23:26;2018-08-28 06:12:45;63%;5:49;:);;0;291
2018-08-29 05:45:04;2018-08-29 07:33:17;23%;1:48;:);;0;2013
2018-08-31 01:18:08;2018-08-31 06:31:26;55%;5:13;:|;;0;757
2018-09-01 05:32:35;2018-09-01 07:32:03;15%;1:59;:|;;0;1222
2018-09-02 01:22:20;2018-09-02 08:02:47;71%;6:40;:);;0;1420
2018-09-04 01:08:49;2018-09-04 06:25:11;54%;5:16;:(;;0;667
2018-09-05 01:22:11;2018-09-05 06:41:47;60%;5:19;:);;0;1271
2018-09-06 01:43:04;2018-09-06 06:17:20;49%;4:34;:);;0;1742
2018-09-06 06:39:06;2018-09-06 07:42:15;14%;1:03;:|;;0;0
2018-09-07 01:08:47;2018-09-07 06:01:47;54%;4:53;:);;0;1194
2018-09-07 06:18:29;2018-09-07 07:09:46;11%;0:51;:);;0;0
2018-09-08 01:41:00;2018-09-08 08:24:45;68%;6:43;:);;0;335
2018-09-09 02:37:51;2018-09-09 08:42:33;61%;6:04;:);;0;1420
2018-09-10 07:03:52;2018-09-10 07:59:08;12%;0:55;:);;0;0
2018-09-10 08:21:32;2018-09-10 08:44:09;5%;0:22;:|;;0;0
2018-09-11 03:33:50;2018-09-11 08:02:21;53%;4:28;:(;;0;808
2018-09-12 02:47:22;2018-09-12 07:24:35;54%;4:37;:);;0;387
2018-09-13 03:57:06;2018-09-13 07:23:18;37%;3:26;:);;0;491
2018-09-14 01:55:22;2018-09-14 08:02:44;64%;6:07;:|;;0;6122
2018-09-15 02:09:32;2018-09-15 09:09:15;74%;6:59;:);;0;1856
2018-09-16 02:35:18;2018-09-16 07:05:16;48%;4:29;:|;;0;717
2018-09-17 01:36:29;2018-09-17 06:57:21;60%;5:20;:|;;0;3640
2018-09-19 08:12:14;2018-09-19 08:35:03;5%;0:22;:);;0;0
2018-09-20 06:59:39;2018-09-20 07:23:50;5%;0:24;:);;0;0
2018-09-22 02:50:47;2018-09-22 07:31:48;48%;4:41;:);;0;0
2018-09-25 02:00:16;2018-09-25 07:06:29;52%;5:06;:);;0;0
2018-09-26 01:49:33;2018-09-26 06:15:27;48%;4:25;:|;;0;546
2018-09-26 06:39:46;2018-09-26 08:21:56;22%;1:42;:);;0;0
2018-09-27 00:43:02;2018-09-27 05:29:44;50%;4:46;:|;;0;0
2018-09-28 01:12:17;2018-09-28 06:01:23;50%;4:49;:|;;0;0
2018-09-29 03:16:46;2018-09-29 06:02:59;31%;2:46;:|;;0;804
2018-09-30 01:53:14;2018-09-30 07:39:55;53%;5:46;:|;;0;0
2018-10-01 06:59:28;2018-10-01 08:12:16;16%;1:12;:|;;0;0
2018-10-02 02:36:54;2018-10-02 06:01:46;36%;3:24;:);;0;0
2018-10-02 06:24:48;2018-10-02 08:08:33;15%;1:43;:|;;0;0
2018-10-03 01:56:31;2018-10-03 06:12:42;47%;4:16;:);;0;0
2018-10-03 06:36:19;2018-10-03 07:41:21;14%;1:05;:|;;0;0
2018-10-03 07:58:50;2018-10-03 08:32:10;7%;0:33;:);;0;0
2018-10-04 03:15:51;2018-10-04 06:17:21;34%;3:01;:|;;0;0
2018-10-05 01:28:23;2018-10-05 06:20:57;55%;4:52;:|;;0;0
2018-10-05 06:21:56;2018-10-05 06:44:19;5%;0:22;:);;0;0
2018-10-05 06:44:27;2018-10-05 07:00:48;4%;0:16;:);;0;0
2018-10-09 02:53:31;2018-10-09 06:20:33;39%;3:27;:|;;0;1666
2018-10-09 06:30:17;2018-10-09 07:21:51;11%;0:51;:);;0;62
2018-10-10 01:57:09;2018-10-10 07:01:01;52%;5:03;:);;0;87
2018-10-11 02:26:54;2018-10-11 07:16:23;48%;4:49;:);;0;0
2018-10-12 00:53:27;2018-10-12 06:46:55;58%;5:53;:);;0;0
2018-10-13 02:24:14;2018-10-13 08:16:34;51%;5:52;:);;0;0
2018-10-14 01:27:42;2018-10-14 07:14:08;55%;5:46;:|;;0;0
2018-10-15 01:50:18;2018-10-15 06:01:38;42%;4:11;:|;;0;0
2018-10-15 06:42:18;2018-10-15 08:12:41;19%;1:30;:|;;0;0
2018-10-16 01:30:02;2018-10-16 06:18:57;48%;4:48;:|;;0;0
2018-10-17 02:15:57;2018-10-17 06:47:26;53%;4:31;:);;0;1756
2018-10-18 01:51:12;2018-10-18 05:44:49;41%;3:53;:(;;0;126
2018-10-19 01:08:34;2018-10-19 05:47:12;51%;4:38;:|;;0;419
2018-10-19 05:54:25;2018-10-19 06:42:35;10%;0:48;:|;;0;419
2018-10-19 06:42:51;2018-10-19 07:31:50;10%;0:48;:);;0;0
2018-10-20 01:10:18;2018-10-20 08:02:01;67%;6:51;:);;0;947
2018-10-21 04:15:43;2018-10-21 09:02:03;43%;4:46;:);;0;0
2018-10-22 02:44:36;2018-10-22 06:38:53;42%;3:54;:(;;0;0
2018-10-23 00:57:55;2018-10-23 06:19:09;46%;5:21;:);;0;93
2018-10-24 01:30:15;2018-10-24 06:16:49;41%;4:46;:);;0;316
2018-10-25 01:49:47;2018-10-25 06:28:57;51%;4:39;:|;;0;0
2018-10-26 04:15:23;2018-10-26 07:40:26;37%;3:25;:|;;0;0
2018-10-26 07:43:14;2018-10-26 08:31:26;10%;0:48;:|;;0;32
2018-10-27 02:00:37;2018-10-27 05:46:36;36%;3:45;:);;0;159
2018-10-28 03:52:28;2018-10-28 09:46:02;53%;5:53;:|;;0;670
2018-10-29 01:17:33;2018-10-29 06:01:55;48%;4:44;:|;;0;2230
2018-10-30 01:10:15;2018-10-30 05:55:57;43%;4:45;:);;0;469
2018-10-31 00:42:57;2018-10-31 05:46:00;48%;5:03;:);;0;662
2018-10-31 08:21:46;2018-10-31 08:58:59;8%;0:37;:);;0;0
2018-11-01 01:09:33;2018-11-01 06:07:58;47%;4:58;:|;;0;0
2018-11-02 00:51:13;2018-11-02 06:01:06;47%;5:09;:|;;0;0
2018-11-03 01:55:17;2018-11-03 06:53:56;52%;4:58;:|;;0;0
2018-11-04 02:05:53;2018-11-04 07:46:23;52%;5:40;:|;;0;1423
2018-11-05 01:07:05;2018-11-05 06:01:44;58%;4:54;:|;;0;8
2018-11-06 00:41:35;2018-11-06 06:01:08;53%;5:19;:|;;0;0
