"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-07",98.55495,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-08",98.53836,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-09",98.55617,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-10",98.63899,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-11",98.77997,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2009-12",98.98287,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-01",99.25214,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-02",99.52086,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-03",99.69584,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-04",99.70316,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-05",99.62745,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-06",99.57365,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-07",99.61176,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-08",99.69969,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-09",99.77611,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-10",99.80343,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-11",99.8224,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2010-12",99.89852,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-01",100.077,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-02",100.2802,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-03",100.3916,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-04",100.3136,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-05",100.1189,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-06",99.89259,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-07",99.69055,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-08",99.53078,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-09",99.43787,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-10",99.44583,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-11",99.53373,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2011-12",99.69637,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-01",99.93494,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-02",100.173,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-03",100.3059,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-04",100.2509,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-05",100.1024,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-06",99.97739,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-07",99.95435,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-08",99.98883,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-09",100.015,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-10",99.98969,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-11",99.94501,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2012-12",99.93483,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-01",100.001,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-02",100.105,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-03",100.1927,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-04",100.2211,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-05",100.2017,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-06",100.1464,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-07",100.0599,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-08",99.96915,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-09",99.90546,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-10",99.88999,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-11",99.89288,
"ZAF","BCI","AMPLITUD","LTRENDIDX","M","2013-12",99.87489,
