name,cmc,colors,type,subtypes,rarity,power,toughness,image_url,code
Academy Researchers,3,['Blue'],Creature — Human Wizard,"['Human', 'Wizard']",Uncommon,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=132072&type=card,10E
Air Elemental,5,['Blue'],Creature — Elemental,['Elemental'],Uncommon,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129459&type=card,10E
Air Elemental,5,['Blue'],Creature — Elemental,['Elemental'],Uncommon,4,4,,10E
Ambassador Laquatus,3,['Blue'],Legendary Creature — Merfolk Wizard,"['Merfolk', 'Wizard']",Rare,1,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129913&type=card,10E
Anaba Bodyguard,4,['Red'],Creature — Minotaur,['Minotaur'],Common,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=134753&type=card,10E
Anaba Bodyguard,4,['Red'],Creature — Minotaur,['Minotaur'],Common,2,3,,10E
Ancestor's Chosen,7,['White'],Creature — Human Cleric,"['Human', 'Cleric']",Uncommon,4,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=130550&type=card,10E
Ancestor's Chosen,7,['White'],Creature — Human Cleric,"['Human', 'Cleric']",Uncommon,4,4,,10E
Angel of Mercy,5,['White'],Creature — Angel,['Angel'],Uncommon,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129465&type=card,10E
Angel of Mercy,5,['White'],Creature — Angel,['Angel'],Uncommon,3,3,,10E
Angelic Wall,2,['White'],Creature — Wall,['Wall'],Common,0,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=129671&type=card,10E
Angelic Wall,2,['White'],Creature — Wall,['Wall'],Common,0,4,,10E
Arcanis the Omnipotent,6,['Blue'],Legendary Creature — Wizard,['Wizard'],Rare,3,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=106426&type=card,10E
