,name,cmc,colors,type,subtypes,rarity,power,toughness,image_url,code,release_date
0,Abattoir Ghoul,4.0,['Black'],Creature — Zombie,['Zombie'],Uncommon,3,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=222911&type=card,ISD,2011-09-30
1,Abbey Gargoyles,5.0,['White'],Creature — Gargoyle,['Gargoyle'],Uncommon,3,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3010&type=card,HML,1995-10-01
2,Abbey Griffin,4.0,['White'],Creature — Griffin,['Griffin'],Common,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=235595&type=card,ISD,2011-09-30
3,Abbey Matron,3.0,['White'],Creature — Human Cleric,"['Human', 'Cleric']",Common,1,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=3011&type=card,HML,1995-10-01
4,Abbot of Keral Keep,2.0,['Red'],Creature — Human Monk,"['Human', 'Monk']",Rare,2,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=398411&type=card,ORI,2015-07-17
5,Aberrant Researcher,4.0,['Blue'],Creature — Human Insect,"['Human', 'Insect']",Uncommon,3,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=409790&type=card,SOI,2016-04-08
6,Abhorrent Overlord,7.0,['Black'],Creature — Demon,['Demon'],Rare,6,6,,PTHS,2013-09-21
7,Abolisher of Bloodlines,5.0,[],Creature — Eldrazi Vampire,"['Eldrazi', 'Vampire']",Rare,6,5,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=414408&type=card,EMN,2016-07-22
9,Abomination,5.0,['Black'],Creature — Horror,['Horror'],Uncommon,2,6,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=1427&type=card,LEG,1994-06-01
10,Abomination of Gudul,6.0,"['Black', 'Green', 'Blue']",Creature — Horror,['Horror'],Common,3,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=386463&type=card,KTK,2014-09-26
11,Aboroth,6.0,['Green'],Creature — Elemental,['Elemental'],Rare,9,9,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4505&type=card,WTH,1997-06-09
12,"Aboshan, Cephalid Emperor",6.0,['Blue'],Legendary Creature — Cephalid Noble,"['Cephalid', 'Noble']",Rare,3,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=31821&type=card,ODY,2001-10-01
13,Absolver Thrull,4.0,['White'],Creature — Thrull Cleric,"['Thrull', 'Cleric']",Common,2,3,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=96953&type=card,GPT,2006-02-03
14,Abu Ja'far,1.0,['White'],Creature — Human,['Human'],Uncommon,0,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=968&type=card,ARN,1993-12-17
15,Abuna Acolyte,2.0,['White'],Creature — Cat Cleric,"['Cat', 'Cleric']",Uncommon,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=194371&type=card,SOM,2010-10-01
16,Abundant Maw,8.0,[],Creature — Eldrazi Leech,"['Eldrazi', 'Leech']",Uncommon,6,4,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=414290&type=card,EMN,2016-07-22
17,Abyssal Gatekeeper,2.0,['Black'],Creature — Horror,['Horror'],Common,1,1,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=4447&type=card,WTH,1997-06-09
18,Abyssal Horror,6.0,['Black'],Creature — Horror,['Horror'],Rare,2,2,http://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=5636&type=card,USG,1998-10-12
