"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","UNEMP","TOT","PC_LF","A","2010",5.21334,
"AUS","UNEMP","TOT","PC_LF","A","2011",5.081195,
"AUS","UNEMP","TOT","PC_LF","A","2012",5.223376,
"AUS","UNEMP","TOT","PC_LF","A","2013",5.66194,
"AUS","UNEMP","TOT","PC_LF","A","2014",6.077244,
"AUS","UNEMP","TOT","PC_LF","A","2015",6.056423,
"AUS","UNEMP","TOT","PC_LF","A","2016",5.710301,
"AUS","UNEMP","TOT","PC_LF","A","2017",5.59376,
"AUS","UNEMP","TOT","PC_LF","A","2018",5.299861,
"AUT","UNEMP","TOT","PC_LF","A","2010",4.82168,
"AUT","UNEMP","TOT","PC_LF","A","2011",4.566622,
"AUT","UNEMP","TOT","PC_LF","A","2012",4.863267,
"AUT","UNEMP","TOT","PC_LF","A","2013",5.336031,
"AUT","UNEMP","TOT","PC_LF","A","2014",5.621219,
"AUT","UNEMP","TOT","PC_LF","A","2015",5.723468,
"AUT","UNEMP","TOT","PC_LF","A","2016",6.014071,
"AUT","UNEMP","TOT","PC_LF","A","2017",5.500528,
"AUT","UNEMP","TOT","PC_LF","A","2018",4.848801,
"BEL","UNEMP","TOT","PC_LF","A","2010",8.293048,"B"
"BEL","UNEMP","TOT","PC_LF","A","2011",7.139795,
"BEL","UNEMP","TOT","PC_LF","A","2012",7.537931,
"BEL","UNEMP","TOT","PC_LF","A","2013",8.425185,
"BEL","UNEMP","TOT","PC_LF","A","2014",8.52289,
"BEL","UNEMP","TOT","PC_LF","A","2015",8.481071,
"BEL","UNEMP","TOT","PC_LF","A","2016",7.833329,"B"
"BEL","UNEMP","TOT","PC_LF","A","2017",7.088736,
"BEL","UNEMP","TOT","PC_LF","A","2018",5.949855,
"CAN","UNEMP","TOT","PC_LF","A","2010",8.058333,
"CAN","UNEMP","TOT","PC_LF","A","2011",7.525,
"CAN","UNEMP","TOT","PC_LF","A","2012",7.291667,
"CAN","UNEMP","TOT","PC_LF","A","2013",7.083333,
"CAN","UNEMP","TOT","PC_LF","A","2014",6.908333,
"CAN","UNEMP","TOT","PC_LF","A","2015",6.908333,
"CAN","UNEMP","TOT","PC_LF","A","2016",6.991667,
"CAN","UNEMP","TOT","PC_LF","A","2017",6.341667,
"CAN","UNEMP","TOT","PC_LF","A","2018",5.833333,
"CZE","UNEMP","TOT","PC_LF","A","2010",7.279707,"B"
"CZE","UNEMP","TOT","PC_LF","A","2011",6.711369,
"CZE","UNEMP","TOT","PC_LF","A","2012",6.977849,
"CZE","UNEMP","TOT","PC_LF","A","2013",6.953799,
"CZE","UNEMP","TOT","PC_LF","A","2014",6.109115,
"CZE","UNEMP","TOT","PC_LF","A","2015",5.046221,
"CZE","UNEMP","TOT","PC_LF","A","2016",3.952049,
